n:withunc dfo z2:108.0 z1:1476.0 data:pos,"[0.9998474  1.00007931 1.00000997 1.00029053 0.99938162 1.00125588
 1.00055416 0.99819477 0.99996768 1.00253375 0.99881384 1.00219014
 0.99792678 0.99775384 0.99943564 1.00164601 1.00156603 1.00337741
 0.99705061 0.99366851 1.01267724 0.99205202 0.99274267 0.99331651
 1.00941105 1.01347415 0.99575651 0.99484742 1.00848324 1.00325467
 0.98091981 1.00116974 1.00499909 0.97878817 1.04240238 0.99885317
 0.98779696 0.96206834]","[0.00139741 0.00122922 0.0009137  0.00198613 0.0026885  0.00326094
 0.00297954 0.00355752 0.0038058  0.00453876 0.01121125 0.00823501
 0.00924044 0.01153813 0.01018214 0.0112348  0.00953436 0.01486611
 0.01478089 0.0151886  0.01806636 0.01700611 0.01632151 0.02240368
 0.02761543 0.018149   0.0260846  0.0216567  0.04268693 0.03722905
 0.02560347 0.02707    0.03456225 0.02879839 0.03702649 0.02903382
 0.0372858  0.02730403]","[17563.25236968 15440.80667925 13728.02213403 12270.90319899
 10670.94049571  9255.00048927  7954.71217639  6914.76325822
  6206.00392938  5542.26558308  4995.44966779  4697.37425299
  4356.36539082  4008.72176838  3669.22284597  3349.06348915
  3016.73971328  2688.24968127  2358.02040025  2074.75540646
  1879.65955206  1630.15836392  1455.80825844  1323.73224681
  1231.8347207   1132.44374247  1001.75111589   898.06144729
   816.20303302   728.24549113   637.2410796    586.88150444
   534.1589573    473.65432088   461.51377014   404.12652887
   367.85966327   335.87799309]","[106.66425228  94.46983493  79.66731696  86.20864872  93.37916325
  74.97026869  47.66921162  77.44944637  50.52400979  57.52103796
  63.55615487  71.73498351  59.70572184  28.98999986  48.48299477
  50.34897876  36.01952933  26.49922197  45.36193707  35.40768372
  42.41948948  39.8395448   36.46018283  28.38697629  29.0502789
  31.39747361  30.31635217  18.57791237  19.92661034  26.05923257
  18.90695651  16.9441934   22.69845625  18.58432689  19.32874288
  15.83585406  15.25311903  24.21039731]"
n:withunc dfo z2:108.0 z1:1152.0 data:pos,"[0.99988461 1.00011447 0.99998667 1.00007198 0.99980158 1.00058531
 1.00077399 0.99897023 0.99881822 1.00171683 1.00158642 0.99949721
 0.99701059 0.9985113  1.00073211 1.00160771 1.00136094 1.00175631
 0.99935112 0.9959509  1.00715644 0.99509046 0.99663193 0.99620956
 1.00435069 1.0081318  0.99583915 0.99489767 0.9996826 ]","[0.00122386 0.00090824 0.00195437 0.00181887 0.0017364  0.00301304
 0.00335625 0.0040295  0.00367697 0.00757923 0.00640361 0.00541527
 0.0069784  0.01114966 0.00656311 0.00796611 0.01500329 0.0148551
 0.01739654 0.0204896  0.02222838 0.01655423 0.01494867 0.02751552
 0.01845158 0.03173822 0.02231466 0.02459633 0.03043843]","[17534.35148329 15420.62080293 13737.73520462 12321.31585545
 10609.2993331   9317.78098397  7942.27726595  6882.69168741
  6240.06932189  5560.1826853   4946.19597542  4734.59436957
  4367.85611967  4002.70401736  3659.99433663  3348.95378933
  3018.18611991  2695.17395737  2350.34921053  2068.67203436
  1893.34632583  1623.90477399  1448.79053934  1319.01841482
  1239.27513639  1139.66333708  1001.41987024   898.19329361
   824.31370141]","[ 97.34358247  96.49463178 112.73600349  96.68089265  74.60258028
  84.58061649  70.44863386  67.49896627  81.25987845  75.68744032
  60.25003797  70.43618227  83.99121536  62.90997973  70.66297957
  46.06316325  37.36837909  46.59526368  37.57113169  52.97560436
  34.39152148  25.64047227  30.67729843  50.69289807  47.69092359
  31.82830549  13.06696926  15.51711707  19.55796926]"
n:withunc dfo z2:108.0 z1:864.0 data:pos,"[0.99982467 1.00015467 1.00007136 1.00021709 0.9995221  1.00103856
 1.0006309  0.99851685 0.99906548 1.00225117 0.99985987 1.00090473
 0.99667185 0.99815489 0.99995402 1.00124841 0.99997011 1.00320522
 0.99932852 0.9942118  1.00292649]","[0.00125363 0.00120035 0.00172206 0.00248519 0.00259826 0.0043787
 0.00309778 0.00434689 0.00421871 0.00386077 0.00602547 0.00725969
 0.00644059 0.00521384 0.01028975 0.01363426 0.01428486 0.01160235
 0.0165568  0.01828805 0.01999966]","[17580.54063876 15404.09967212 13714.26982796 12290.27780143
 10652.27288713  9273.08194682  7949.72332008  6896.70925396
  6227.27367162  5547.61643054  4976.32603667  4712.67702245
  4372.79823606  4006.81350962  3667.33689148  3351.98021153
  3025.06283253  2688.35075392  2351.66857401  2074.70015017
  1903.70851169]","[159.30885669  97.93716695 100.11563402  79.01000556  67.0551942
  69.89133636  73.71576818  70.53035101  47.4483969   70.34926009
  57.72117388  48.21631412  52.49799369  58.78643715  53.33268577
  40.4749593   44.46255486  41.63829813  21.85063409  43.5466846
  23.31807127]"
n:withoutunc dfo z2:108.0 z1:1476.0 data:pos,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","[17558.47285117 15455.40826595 13736.57642523 12271.14512041
 10667.3352285   9240.98410252  7949.06923547  6923.17718392
  6199.86743844  5537.96873149  5006.86016116  4683.94891447
  4372.50779556  4011.99565154  3675.03835345  3349.23769429
  3013.42135759  2678.65148742  2360.08868028  2086.00256474
  1855.4378938   1639.74110619  1466.97976202  1335.73512777
  1226.5550294   1122.63928722  1011.51025207   901.37941392
   808.11341999   721.7213087    646.60404196   586.71165532
   533.5868864    485.99084481   444.95253552   405.00659915
   366.17480406   334.40278808]","[113.87202105 109.34174643  81.25913933  52.66593985  86.41581306
  80.32792127  63.15625972  90.50198615  39.32528156  39.02834556
  47.51468783  66.41038203  68.82757334  48.76801484  45.14070598
  34.96783917  45.18388588  31.81825056  30.0871184   28.43722726
  31.43930227  27.50302743  18.81887692  20.12746106  19.71767591
  20.97337041  20.98666505  14.44053352  17.64707535   9.8530376
  14.40565395  17.25081906  16.0943834    9.77928532  12.78080731
  11.88391322  14.1234817   17.33770685]"
n:withoutunc dfo z2:108.0 z1:1152.0 data:pos,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[17549.69905483 15418.93596062 13714.78130317 12302.1392968
 10675.22817275  9236.32753835  7961.5764078   6931.29430257
  6217.59642451  5540.06302425  4997.73358834  4692.73935635
  4374.97268081  4013.9625133   3670.38066095  3348.95366145
  3020.96532583  2685.83730379  2358.75368881  2087.54698414
  1857.46947894  1632.41144582  1452.28292176  1327.1510947
  1228.34747896  1120.78464317  1004.75991924   903.33768483
   829.96808319]","[113.20011162  41.35785332  68.29172975  81.6447099   83.75992489
  45.81361973  83.35253998  75.27438759  62.8002851   71.75775217
  51.80200373  51.40384618  51.54964487  50.64665046  43.90313053
  42.21135088  24.19828913  33.52965861  35.19067223  25.48886297
  14.27187666  22.94598056  29.02256824  32.60437781  37.70360784
  25.71484613  18.28996341  18.28808739  18.2416568 ]"
n:withoutunc dfo z2:108.0 z1:864.0 data:pos,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[17549.93592045 15403.83357841 13731.54197866 12317.57891891
 10612.72368083  9308.44222312  7945.12673474  6891.28019148
  6249.26196793  5553.82319901  4935.68656586  4736.35959026
  4377.53753052  4011.43024     3664.98372721  3355.55533607
  3021.86572412  2695.47733152  2348.32676332  2066.92982203
  1898.29897555]","[152.11830714 114.37385706 108.14717632  82.6289875   86.03740926
  82.98120887  71.96440486  80.85785797  39.00004482  79.09490176
  76.56026212  42.02258522  56.48433785  76.78059803  79.87365778
  36.43504577  48.24386277  41.3805931   30.83537099  41.19642203
  32.08402953]"
n:withuncit30 dfo z2:108.0 z1:864.0 data:pos,"[0.99983777 1.0001602  1.00005587 1.00019778 0.99953152 1.00102028
 1.00048689 0.99837481 0.9990024  1.00247547 1.00020716 1.00109436
 0.99641732 0.99783927 0.99962435 1.00092597 1.00153007 1.0032355
 0.99879387 0.99492764 1.00362776]","[0.00081116 0.00177374 0.0017548  0.00263126 0.00256657 0.00343044
 0.00360845 0.00427027 0.00684674 0.00702065 0.00994081 0.00394796
 0.01025554 0.00627659 0.01119885 0.01442511 0.01460008 0.01240857
 0.01862697 0.01803985 0.02655777]","[17578.25557103 15399.09420245 13713.41036994 12285.89848099
 10652.2507477   9272.62651038  7963.57740999  6908.41634735
  6233.02515993  5540.77478184  4971.73915405  4710.15041376
  4377.71951798  4009.14127045  3667.50769586  3353.51534203
  3018.8500597   2687.98033097  2349.26975099  2071.24761428
  1905.05160572]","[114.04278589  74.94134232 108.01625469  92.83804224  57.35322226
  44.82118373  89.58445233  66.97228253  67.01636623  56.72037293
  59.05064732  62.45892434  46.98670451  24.22103628  36.93131464
  61.31675472  53.7624936   55.82937697  37.46736598  40.50630742
  29.25910938]"
n:withuncit45 dfo z2:108.0 z1:864.0 data:pos,"[0.99982233 1.00015563 1.00005189 1.00018184 0.99955936 1.00103943
 1.00059562 0.99859809 0.99917305 1.00251697 1.0003039  1.00112804
 0.99658152 0.99791761 0.99987757 1.00092419 1.00025412 1.0019627
 0.99933948 0.99381876 1.0030644 ]","[0.00092217 0.00177409 0.00278193 0.00257367 0.00338901 0.00223988
 0.00319365 0.00439938 0.00477874 0.00596356 0.00621248 0.00371322
 0.00800111 0.00766939 0.01279228 0.01169811 0.01189381 0.01573167
 0.01985734 0.01816553 0.02429553]","[17580.61713025 15398.4193593  13723.23351766 12295.82176808
 10646.28186717  9276.54032406  7953.05791863  6899.31238602
  6225.68829695  5540.78821725  4970.69950117  4709.52318749
  4371.45857526  4005.92397224  3666.19706214  3352.75044656
  3022.57752937  2694.90276082  2351.6062736   2076.69782485
  1903.64156589]","[ 89.90659744 137.78617737  74.95833807  82.28073415  78.54452843
  61.15936377  77.73631225  50.71305678  51.73125813  67.26686816
  39.13218898  45.45460448  67.56942526  42.2564776   73.46376263
  45.16249615  47.45376254  27.11479909  45.56716163  32.26735714
  30.49172567]"
n:withuncit45otherargs dfo z2:108.0 z1:864.0 data:pos,"[0.99981935 1.00015954 1.00005374 1.00017793 0.99957594 1.00102901
 1.00060594 0.99862379 0.99911974 1.00252362 1.00041597 1.00101919
 0.99649448 0.99798029 0.99990868 1.00087303 1.00021646 1.0019155
 0.99939283 0.99384906 1.00301867]","[0.00092468 0.00178969 0.00276315 0.00258226 0.00341329 0.00223282
 0.0032376  0.00437828 0.00475296 0.00604312 0.00623388 0.00336797
 0.00803223 0.00761956 0.01283519 0.01158833 0.01192623 0.01537315
 0.02029991 0.01789826 0.02429026]","[17584.30828449 15395.69494514 13721.62013713 12296.99666709
 10643.60423397  9276.95980801  7952.67018011  6898.15879384
  6228.1180998   5541.3760674   4968.96575424  4711.11001626
  4372.19345604  4005.74563563  3666.09789286  3353.06291351
  3022.66200494  2694.93535549  2351.36857828  2076.22161394
  1903.55128563]","[ 88.56501979 140.61382702  76.35124391  82.49820988  76.0482624
  59.13812183  78.1571522   51.09272922  52.44376413  67.93777575
  40.60476217  43.43047759  66.88950246  40.69986086  74.1424659
  45.98068829  48.7225557   27.52578978  44.45055566  34.99325147
  30.30623159]"
n:withuncit60 dfo z2:108.0 z1:864.0 data:pos,"[0.99981906 1.00015124 1.0000448  1.00021003 0.99953908 1.001081
 1.000666   0.99848164 0.99925159 1.00244313 0.99990612 1.00089746
 0.99658128 0.99790163 0.99956953 1.00090207 1.00065928 1.00274121
 0.99948943 0.99474639 1.00415921]","[0.00086627 0.00119267 0.00214609 0.00221612 0.00289398 0.00275432
 0.00466558 0.00635131 0.00442064 0.00664523 0.00645301 0.00871961
 0.01102864 0.00953769 0.00812825 0.01160135 0.01632994 0.02023336
 0.02251143 0.02186278 0.02157906]","[17590.21184239 15401.00034702 13719.33378958 12291.73944644
 10646.52599899  9265.7724113   7949.74138909  6905.08753839
  6224.09327089  5541.94503261  4977.30424031  4715.39687207
  4373.58812075  4008.45416273  3669.05415746  3353.62567456
  3021.60323843  2691.57656305  2350.35685281  2071.93380954
  1900.37481692]","[119.14781189  92.56455117  93.39674884  89.05607491  80.16854221
  41.05506854  69.47224288  39.05604577  54.02172329  58.05350885
  47.42740538  32.51872375  69.59626134  25.97713689  63.94303324
  68.60055606  49.99695385  52.80529446  49.01971205  24.88841022
  24.57142884]"
