n:last dfo z2:108.0 z1:756.0 data:neg,"[0.99980144 0.99989917 1.00005409 1.00032948 1.00063322 1.00214033
 0.99869406 0.9999518  0.99458397 1.00362988 0.99793118 1.00594372
 0.99592403 1.00347223 0.99053964 0.99644755 1.00350206 1.00743884]","[0.00112817 0.00201759 0.00264597 0.00240788 0.00402078 0.00469853
 0.00549904 0.00626071 0.00667003 0.00682769 0.00773768 0.00904037
 0.01466812 0.01678991 0.02090082 0.01850986 0.01744081 0.01768647]","[8413.47945056 7376.96413694 6522.24735961 5870.60391725 5399.1319986
 5003.10067313 4585.18123118 4212.71915257 3841.39844959 3524.19983592
 3130.46996248 2757.71276167 2337.58446636 2011.78572133 1713.32588364
 1527.33382912 1394.83605377 1284.63144503]","[61.52120232 57.01132523 43.0765018  50.84658445 47.00759    36.00946835
 39.41776319 45.06106706 49.73414514 40.23110823 42.99976875 47.77004776
 34.64610173 45.14309769 32.9710504  28.57960205 38.29247635 28.10754267]"
n:last dfo z2:108.0 z1:972.0 data:neg,"[0.99976639 0.99984917 1.00003746 1.00034863 1.00076509 1.00242276
 0.99889545 1.0001429  0.99471107 1.00370052 0.99826567 1.00635332
 0.99567429 1.00230723 0.98810292 0.99445269 1.00467472 1.01496122
 0.99953094 0.97631791 1.01258066 1.02255726 0.99616567 0.98043684]","[0.00223329 0.00223758 0.00286966 0.00330026 0.00354926 0.0041683
 0.00474429 0.00585315 0.00640974 0.00802089 0.0100617  0.01292624
 0.01177272 0.01337008 0.01479077 0.01848823 0.0250972  0.0203244
 0.0269519  0.02257811 0.02569255 0.02351925 0.02523877 0.03694037]","[8423.07582256 7384.26720723 6524.6190232  5871.48572045 5387.34252568
 4985.83013984 4576.70025404 4212.3652426  3842.45633288 3526.21075177
 3127.06988786 2750.13858577 2337.85807716 2015.92665231 1721.72004186
 1534.02756484 1393.60716878 1271.13238107 1126.82244889  990.5299919
  926.55007767  842.16085834  734.9151851   649.36189695]","[64.59775088 50.41305518 51.29611474 52.91091144 50.27157509 50.42381842
 37.41355128 46.67701781 44.41109216 35.09696195 37.48748537 32.49962941
 29.07477422 30.00759451 24.74608436 35.04655297 31.98586356 33.87604745
 31.48953152 29.16708074 21.29677539 18.17113441 23.60131309 27.80628376]"
n:last dfo z2:108.0 z1:1152.0 data:neg,"[0.99977003 0.99985453 1.0000252  1.00033406 1.00078012 1.00235522
 0.99886432 1.00008673 0.99486697 1.00411692 0.99868564 1.0065705
 0.99512226 1.00108013 0.98641147 0.99306634 1.00409007 1.01487604
 0.99902885 0.97543913 1.0125837  1.02425712 1.00091098 0.99162846
 1.0016528  0.98496977 0.99805621 0.99582525 1.01427808]","[0.00156293 0.0017658  0.00183983 0.0024249  0.00431972 0.00593362
 0.00579353 0.00753215 0.00627097 0.00757637 0.01088037 0.01217565
 0.0129939  0.01539797 0.0141248  0.01175368 0.02051524 0.01816119
 0.02023238 0.02136016 0.02378079 0.02429331 0.02949856 0.03197469
 0.03082356 0.04697151 0.03735439 0.04349355 0.04531461]","[8422.75883381 7388.90404858 6525.05547054 5869.38693666 5383.17663706
 4988.12971742 4577.46385142 4213.45336286 3840.30964208 3521.30501087
 3124.28414564 2750.64073538 2339.6950121  2021.19712956 1726.81940488
 1537.09516732 1394.63568178 1271.90094969 1126.89714518  990.74760784
  926.33106372  840.49302636  730.096826    639.40709846  572.42898464
  502.95790629  462.19598525  423.61556181  400.39752131]","[65.04900918 43.41395527 45.83664639 32.50811248 48.60895775 38.40316121
 40.49564056 46.3528321  62.93868172 50.06881929 51.91572572 41.32478684
 34.30401365 30.98028657 35.99941595 23.44183764 29.29544567 20.2097928
 23.67357937 19.7232221  25.4973312  21.6797721  21.24928825 21.30154115
 20.18753358 20.00616378 16.27728531 16.36992737 20.64845649]"
n:lastit50 dfo z2:108.0 z1:756.0 data:neg,"[0.99982445 0.99991157 1.00004629 1.00033482 1.00066103 1.00203003
 0.99858428 0.999911   0.9943179  1.00342925 0.99813006 1.00644684
 0.99603575 1.00346698 0.98992635 0.99669716 1.00370777 1.00768829]","[0.00182595 0.00192843 0.00256761 0.00308891 0.00357662 0.0058192
 0.0045257  0.00685429 0.00806097 0.00820149 0.00931788 0.01180314
 0.01447781 0.01654054 0.01744719 0.02010181 0.01834474 0.02771384]","[8406.45887221 7376.2197828  6524.61129019 5871.48871612 5392.11617458
 5001.1455303  4584.99338624 4215.31131022 3848.54158172 3530.50838528
 3128.80213379 2752.06171118 2336.05542742 2012.35552144 1717.49101941
 1528.81450039 1394.57473062 1283.66633768]","[55.26887626 42.55215081 49.67023425 50.0399726  39.56930391 41.92890323
 43.1163735  50.66176038 55.09616321 40.7067653  39.33486936 33.73253969
 41.76168486 38.78462315 33.55906117 31.05500278 28.66414364 40.09842975]"
n:last dfo z2:108.0 z1:756.0 data:pos,"[0.99981148 1.00018389 0.99954677 1.00095    1.00020994 1.00169119
 0.99893049 0.99809833 0.99864882 1.00061512 0.99658658 1.00318812
 0.99509794 1.00713849 1.00174683 1.00072423 1.0046545  0.99169003]","[0.00090985 0.00167358 0.0022418  0.00202937 0.0035823  0.00442985
 0.00542113 0.0062222  0.00642653 0.00703481 0.00788038 0.00866378
 0.01476973 0.01603035 0.01898572 0.01701312 0.01576937 0.01582217]","[8867.65844024 7869.74211883 6978.0136363  6226.97129339 5449.73341803
 4716.99216379 4092.17677913 3620.45039554 3226.19303621 2882.59469281
 2592.48394946 2391.93132646 2187.69045516 2049.34222821 1870.59852971
 1699.96312476 1546.5603558  1390.87307496]","[77.84964645 45.7993374  44.34145969 47.23989356 47.20535224 44.58571631
 37.11562747 38.50239041 38.95714768 36.97240441 32.57547405 38.56664719
 31.56624027 43.93176944 35.04477659 29.73172821 40.85770991 33.71843102]"
n:last dfo z2:108.0 z1:972.0 data:pos,"[0.99978217 1.00016358 0.99953384 1.00102179 1.0003506  1.00189548
 0.99906142 0.99842177 0.99890772 1.00042559 0.99638092 1.00330899
 0.99452606 1.00618618 0.99987622 0.99797125 1.00406922 1.00238588
 1.00289005 0.99671224 1.0009216  0.98460455 0.99949126 1.00193622]","[0.00181401 0.0018682  0.00242342 0.00281236 0.00324046 0.00410657
 0.00480366 0.00565054 0.0063076  0.00830716 0.00998226 0.01286696
 0.01153646 0.0131835  0.01382552 0.01659067 0.02283313 0.01929088
 0.02496866 0.02209996 0.02516381 0.02181414 0.0255629  0.03844902]","[8880.8254653  7877.9419779  6981.45917313 6217.56427547 5439.45430878
 4708.35119233 4088.26989157 3612.73543588 3219.70398058 2881.5513594
 2594.69119429 2391.69296566 2190.10587477 2052.4177001  1875.49400133
 1706.79387895 1548.81136934 1370.71971331 1199.69135381 1040.2211811
  914.64935843  799.55091944  736.42677301  683.05601655]","[79.0792094  47.29646438 51.92759595 45.12700526 47.43733884 51.26789236
 39.90708894 42.07681666 34.62022653 28.04373147 35.13542684 31.22903977
 28.39928771 28.68719344 26.01968622 36.70997585 34.3412122  35.32369264
 32.92110916 29.80642321 20.69884646 16.1996028  22.95621149 27.48619027]"
n:last dfo z2:108.0 z1:1152.0 data:pos,"[0.99975634 1.00012636 0.99947051 1.00111322 1.00053447 1.00184559
 0.99897935 0.99864912 0.99939272 1.00063302 0.99611316 1.00289997
 0.99425793 1.006429   1.00007593 0.99863782 1.00550318 1.00353263
 1.00205292 0.99346336 0.99484003 0.97793986 0.99734674 1.01104768
 1.02329191 1.00899176 1.00112408 0.97623771 0.9935003 ]","[0.00128273 0.00146617 0.00155901 0.00220517 0.00385806 0.00562812
 0.00574993 0.00759252 0.00648581 0.0079877  0.01105739 0.01174185
 0.01256483 0.01524196 0.01360881 0.01060897 0.01904643 0.01693856
 0.01924461 0.02262899 0.02265212 0.02073355 0.02962882 0.03114744
 0.03171347 0.0452013  0.03596563 0.04002127 0.04139532]","[8895.45475251 7883.11882631 6984.57746931 6203.97061916 5426.33864359
 4710.68816645 4092.06495288 3610.97815451 3216.20160829 2882.16674675
 2599.11853464 2397.17078055 2193.35396142 2053.7088698  1875.17673413
 1704.17369171 1543.51280904 1367.26780515 1199.66781326 1042.5853409
  919.72507148  804.70802223  737.87338033  676.60567635  619.46098001
  550.83536468  494.7183018   439.08379742  410.83612211]","[70.58574048 49.7488547  50.18877393 47.93765076 49.59598546 45.94031289
 39.75137337 37.03306988 54.97186356 45.33990454 45.77953343 37.54958972
 32.81164721 31.56924789 34.38280956 22.76020875 30.44769922 20.989231
 24.82997359 20.72260734 26.80997266 20.43384349 23.03547003 22.53117435
 21.18814935 22.1019014  17.40844701 16.06665768 19.51237765]"
n:lastit50 dfo z2:108.0 z1:1152.0 data:pos,"[0.99975715 1.00012635 0.99949834 1.0011414  1.00051279 1.00185039
 0.99894651 0.99864503 0.99925048 1.00048855 0.99588681 1.0026074
 0.99454682 1.00680162 1.00060752 0.99858276 1.00535553 1.00384829
 1.00221863 0.99387577 0.99598369 0.97899836 0.99855592 1.01114153
 1.02266332 1.00714069 0.99980357 0.97365436 0.98828028]","[0.00151702 0.00154942 0.00212456 0.00236105 0.00396317 0.00310143
 0.00693099 0.00603449 0.00669796 0.00973894 0.01111223 0.00849583
 0.01494283 0.01238164 0.01957333 0.01510763 0.01226088 0.02184829
 0.01957499 0.01829241 0.02271703 0.0217614  0.03007212 0.02479777
 0.03270084 0.02960621 0.03249188 0.0383413  0.0423679 ]","[8890.79588739 7883.62110341 6986.84823367 6206.13002639 5426.19672526
 4710.44046039 4093.41791727 3608.52518045 3217.02753318 2883.24647215
 2597.80738907 2395.91483008 2189.57655733 2049.6921673  1873.85303084
 1707.13496489 1545.51879968 1367.71566608 1201.18110715 1043.98779873
  920.20974256  804.96595114  737.46459318  675.8242699   619.14399727
  550.91883139  494.16886023  439.23116715  412.3934895 ]","[72.17442064 47.83971301 40.37698789 43.37718134 51.57240005 39.70523752
 44.97926843 42.48493205 38.89234774 32.56651565 39.64345486 34.3371021
 37.80310908 35.94127437 37.74205749 28.31272673 25.8392178  29.45309435
 34.73558274 20.53019658 21.35266006 25.60762937 21.1713178  19.17987624
 17.80096501 15.6842099  15.58259913 17.76890282 16.52456366]"
n:last dfo z2:180.0 z1:972.0 data:pos,"[0.99932978 1.00088013 1.00020387 1.00177709 0.99902112 0.99848234
 0.99900552 1.0006945  0.99667936 1.00347417 0.99469871 1.00621036
 0.9999817  0.99809513 1.00419303 1.00266179 1.00314437 0.99688438
 1.00088919 0.98433134 1.00016005 1.00380321]","[0.00230643 0.00398695 0.004028   0.0044931  0.00567333 0.00949253
 0.00703487 0.00869611 0.00954936 0.01071961 0.01209853 0.01107853
 0.02078486 0.01876439 0.01932907 0.01867554 0.01976241 0.01936311
 0.02851003 0.02273749 0.03297217 0.03686655]","[7014.50692753 6231.43172471 5448.41925612 4713.61358278 4089.57358943
 3613.16839436 3220.80091179 2880.63147047 2593.51536868 2391.09247407
 2190.44510421 2053.22313759 1876.07127888 1706.62144513 1547.48702285
 1368.95881641 1198.18723667 1039.34250175  914.49944317  799.58373036
  735.62378698  681.24122507]","[41.5962556  49.40668643 45.86432566 39.46249892 45.36936716 46.74274556
 40.71192635 29.32889317 35.68145725 28.40280168 47.30207611 38.95152262
 37.03337501 23.31169014 26.60028926 30.25266238 30.1996078  28.20867929
 30.34255127 21.81596138 19.08653829 34.56206887]"
n:last dfo z2:180.0 z1:972.0 data:neg,"[0.99955864 1.00013431 1.00057494 1.00220335 0.99873424 1.00008352
 0.99470651 1.00358035 0.997935   1.00618037 0.99585256 1.00294664
 0.9892025  0.99547505 1.00505204 1.01510145 0.99965791 0.97617764
 1.01200377 1.02203383 0.99761951 0.98356384]","[0.00274972 0.0046003  0.00439674 0.00472592 0.00565201 0.00979541
 0.00710861 0.00861869 0.00953816 0.01095299 0.01178121 0.01184464
 0.02165037 0.02082325 0.02108223 0.01891277 0.02090451 0.01863232
 0.02835321 0.02392308 0.0336417  0.03705518]","[6584.87646868 5891.73571961 5401.12389966 4996.66478779 4576.67797147
 4206.31540585 3840.26182958 3529.21079476 3129.26969323 2751.68545763
 2338.19155791 2013.29115725 1718.13163077 1530.36025841 1391.61397563
 1270.75837225 1127.21874537  991.15697301  928.25796751  843.00478687
  733.18996445  645.03200127]","[44.84351965 53.81542298 51.43794938 36.63448369 42.63751131 44.44237956
 47.94360242 34.75526561 43.86894063 33.02814924 48.30937058 38.37767208
 35.84768026 23.2153151  25.9280466  29.19381969 29.23941485 27.24519539
 31.23441651 23.22318229 18.75673757 35.44081549]"
