n:final dfo z2:180.0 z1:1008.0 data:pos,"[1.00015118 1.00000131 0.99860422 1.00087699 1.00092445 0.99645363
 1.00165033 1.00359026 0.99872506 1.00387363 1.00449353 0.9922029
 0.99899422 1.00481634 0.99843464 1.00263816 0.98987487 0.99020064
 1.02738821 1.000948   0.9843081  0.98058769 1.00887429]","[0.00232395 0.00348339 0.00305988 0.00395876 0.0048106  0.00586562
 0.00561882 0.00678194 0.00740009 0.00957013 0.0140265  0.0119258
 0.0091663  0.01664152 0.01621973 0.01818931 0.01660326 0.0193342
 0.02282128 0.02479978 0.02390789 0.03373205 0.03898124]","[6801.32840181 6011.76104269 5222.33785528 4536.0470335  3902.34642296
 3345.68257278 2964.14329289 2659.79799033 2421.64192186 2281.61927391
 2140.45559749 1949.95980641 1793.56438419 1640.95556344 1471.06116149
 1321.10777249 1162.17316036 1036.74731826  958.36758196  828.67904494
  721.8180473   644.77685772  604.32570067]","[70.10354123 45.03519942 44.25940882 33.67178028 39.38282212 38.96981792
 23.81103123 25.42886434 27.10708765 29.13636476 30.50045896 30.76691565
 27.32568379 38.13610586 38.42304992 27.07042605 29.05768314 17.3456463
 21.24655038 22.47144421 25.93504128 19.044195   25.69995631]"
n:final dfo z2:180.0 z1:1224.0 data:pos,"[1.0002007  1.00006554 0.99862585 1.00087392 1.00086003 0.99619284
 1.00145246 1.0035323  0.99848639 1.00318929 1.00383442 0.99181002
 0.9985367  1.00472308 0.99894791 1.00343825 0.99104055 0.99109307
 1.02721698 1.00028418 0.98172801 0.97639926 1.00490753 1.03610739
 1.00200797 1.01604097 1.01116882 0.97618593 0.96534625]","[0.00192715 0.00391182 0.00378692 0.00439426 0.00540919 0.00572678
 0.00688205 0.00613978 0.01035122 0.01101257 0.01251547 0.01320245
 0.01107769 0.01252314 0.01739372 0.01582314 0.01794566 0.0250494
 0.02717585 0.02443332 0.02671121 0.02839332 0.02317562 0.01987259
 0.03463136 0.03884479 0.03154292 0.03196766 0.05155674]","[6790.88953829 6003.73457487 5221.86139433 4539.48490019 3904.43664409
 3351.27408015 2969.03535634 2661.51301145 2424.77487484 2286.37343496
 2144.07074986 1950.91358485 1794.83413965 1640.9206623  1469.80742064
 1319.26439587 1160.4244089  1036.04253355  959.20670715  829.46841776
  724.24689221  648.27175775  607.0454892   571.15680842  501.10862053
  457.88184509  410.90593386  360.45585559  328.48902506]","[62.85163437 62.51075157 56.32854942 33.80521272 40.56798042 39.38321026
 35.46306604 26.525148   28.02088889 25.93863555 43.97702097 29.28955246
 28.58923035 32.4343115  28.41294269 28.38358864 24.81139652 25.81141127
 21.1124151  22.91596091 20.71696507 22.12997442 15.48733061 15.88929255
 17.06447793 16.13374371 14.90265112 14.42850062 14.36535797]"
n:final dfo z2:180.0 z1:1404.0 data:pos,"[1.00024501 1.00006233 0.99868708 1.00086361 1.00082994 0.99622848
 1.00126025 1.00324991 0.99840144 1.0029712  1.00371742 0.99216415
 0.99897693 1.00499435 0.99897768 1.00330706 0.99044254 0.99051107
 1.02661498 0.99953184 0.98120083 0.97539118 1.00239354 1.03349466
 0.99922763 1.01298528 1.01205312 0.98335223 0.98435089 1.02241072
 0.97826673 0.99077441 1.03596565 0.96329554]","[0.00248128 0.00350217 0.0043614  0.00339564 0.00541455 0.00413602
 0.00721114 0.00861439 0.00695932 0.01147835 0.01006686 0.0114398
 0.0116137  0.02130928 0.01455609 0.01177137 0.01769164 0.01947386
 0.0208069  0.02447897 0.02771869 0.0287953  0.03442101 0.03560023
 0.02914815 0.03099487 0.04596372 0.04524874 0.04415053 0.04106865
 0.05013359 0.05115945 0.043495   0.05581118]","[6780.95140298 6002.86112549 5217.69055331 4539.78469192 3906.80389656
 3351.139743   2972.7784894  2665.40892778 2425.76907875 2289.60847451
 2144.65576989 1949.95612808 1793.47929231 1640.01722909 1468.87720702
 1318.68000741 1161.19548014 1036.58241772  959.98100058  831.08784602
  725.25854296  649.29885489  609.12643974  572.52550548  501.7850053
  458.50201015  410.15296611  357.68927474  322.26588312  303.72450081
  266.23915751  249.51281016  244.49978147  215.96153369]","[72.22698164 49.94287845 41.80304148 45.25094923 33.17247638 34.09163702
 39.00451703 34.6964651  39.47890496 33.18156689 27.77433359 34.03078663
 28.84270412 29.90771506 24.47082374 28.29715714 22.99021495 17.70659834
 23.58125829 20.31349674 21.10307265 19.08206348 20.39008544 18.78355396
 16.60372505 17.44771305 16.77117734 17.41743487 15.02330137 10.86838619
 11.58155512 11.77587194 12.51337552 11.63011153]"
n:final dfo z2:180.0 z1:1008.0 data:neg,"[0.99966509 1.00004808 0.99940947 1.00030777 1.00023928 1.00453314
 0.99893352 0.99989484 1.00045512 1.00022444 0.99685209 0.98955883
 1.00760953 0.99742542 1.00171753 0.98419247 0.99470231 1.01517424
 1.01786807 1.00564387 0.98677592 0.99984225 0.99520684]","[0.00265841 0.00391926 0.00319312 0.00418043 0.00485882 0.00550371
 0.00523846 0.00682819 0.00667663 0.0093602  0.01421341 0.01226311
 0.00899619 0.01737374 0.01741379 0.01908768 0.01709304 0.02110402
 0.02350482 0.02443523 0.02443774 0.03392778 0.03906411]","[6609.72791261 5942.33598714 5354.14947759 4848.14609495 4429.26136359
 4096.16296135 3752.35406258 3418.83131564 3059.47816759 2682.26672673
 2308.44511601 1969.95303522 1734.87514004 1503.22157019 1341.64303273
 1187.94323666 1098.95608546 1033.74027008  949.91108208  853.68675528
  754.03677502  686.39379206  614.7250544 ]","[78.46662761 44.36025713 44.65541674 34.96938703 42.83937617 44.19221225
 23.29944751 28.4929244  28.45268098 28.93438063 29.70316469 34.20884608
 25.76946865 36.85041281 35.04021278 23.94259939 28.40912828 16.73295324
 19.99925855 24.30329099 26.94353032 20.09426929 25.58102832]"
n:final dfo z2:180.0 z1:1224.0 data:neg,"[0.99967474 1.00006446 0.99940561 1.00029544 1.00025024 1.00441219
 0.99882913 0.99987132 1.00039464 1.00005401 0.99695917 0.98996438
 1.00760923 0.99724103 1.0023681  0.98480394 0.99534201 1.01543299
 1.01735782 1.00544964 0.98659417 1.00031449 0.99745817 1.02412605
 0.99819854 0.9661764  1.00651311 0.99629591 0.99823034]","[0.00217358 0.00434131 0.00397395 0.00465645 0.00542982 0.00561767
 0.00664233 0.00578104 0.00996175 0.01103514 0.01288367 0.01409191
 0.01222064 0.01303439 0.01822445 0.01671013 0.02070675 0.02637478
 0.02935165 0.02549018 0.02647974 0.0281938  0.02327848 0.02081675
 0.0357235  0.03703533 0.03350622 0.03233189 0.05369681]","[6614.55704039 5941.27416191 5352.61809946 4850.7530501  4430.36386214
 4098.52028209 3750.13685454 3414.69583331 3058.71561963 2684.38642522
 2310.74445764 1969.75235112 1734.16262821 1501.48110208 1338.58781973
 1186.11357387 1099.06801916 1035.37778924  952.63002881  853.83265042
  753.46721465  684.71429758  611.64060355  562.84018427  491.31423082
  428.48034555  405.68901169  367.55770876  338.05613493]","[72.98404292 68.65920963 48.44415579 33.64158393 43.34243399 38.9544468
 38.47185562 28.78025416 37.83182431 30.12101082 44.06570376 28.49978808
 29.08806903 28.26960115 27.43470298 27.25007511 25.74038321 25.75861345
 23.03087975 23.52219209 22.20243176 21.58378506 15.9475364  16.79349965
 15.38276614 16.22873074 16.15163219 14.28459576 13.89981776]"
n:final dfo z2:180.0 z1:1404.0 data:neg,"[0.99964489 1.00007519 0.99944417 1.00029997 1.00019525 1.00447563
 0.99911489 1.00018607 1.00067382 1.00030319 0.99664596 0.98901043
 1.0063127  0.99582733 1.00044749 0.98326379 0.99476346 1.01655208
 1.019578   1.0078213  0.98832959 1.0011681  0.99747122 1.02372317
 0.996363   0.96408671 1.00649836 1.00018183 1.00576728 1.00774208
 1.02616136 0.98582493 1.0460569  0.91401626]","[0.00277235 0.00391943 0.00451423 0.00355412 0.00564289 0.00398159
 0.00686819 0.00844003 0.00704377 0.01115963 0.01003318 0.0123464
 0.01207995 0.02238    0.01572441 0.01252102 0.01874876 0.02053836
 0.01909059 0.02375181 0.02742752 0.02960858 0.03485349 0.03508748
 0.03093047 0.03039155 0.04413719 0.04661205 0.04395511 0.0393597
 0.0502077  0.05209288 0.04753561 0.05246753]","[6611.62353365 5939.78872209 5352.20686143 4851.0521279  4433.7373566
 4099.98097799 3747.91376887 3411.41048557 3054.21884703 2682.75594392
 2307.75014184 1970.46325512 1738.13676081 1507.35511249 1344.4964469
 1190.59052006 1100.5206134  1032.90687884  948.42145034  851.32261689
  752.24859333  684.84850065  612.91716124  563.63099237  492.23181504
  429.077241    404.818758    366.11746647  335.69783838  307.32585141
  286.37110117  251.5954939   245.01885135  197.49607075]","[66.98354054 44.44170432 38.27447512 34.26305845 35.52231232 41.22020039
 39.25835391 35.17256379 37.50176842 34.04515862 25.81515291 30.84492595
 28.09062137 29.79990824 24.05739651 26.62756582 23.20820139 17.74378115
 23.10888832 19.87827743 20.88959481 18.79041173 20.47121226 18.56430601
 16.81194924 16.93157474 16.17221931 18.67172063 14.37308016 10.58447121
 12.1623226  12.0029045  13.55903793 11.46830973]"
n:finalit20 dfo z2:180.0 z1:1008.0 data:pos,"[1.00017668 1.00002008 0.99863007 1.00086514 1.00086716 0.99629188
 1.00171288 1.00374998 0.99867978 1.00339718 1.00398554 0.99201901
 0.99832884 1.00399816 0.99841067 1.0031162  0.99075823 0.99141775
 1.02907401 1.002975   0.98533552 0.98062846 1.00655301]","[0.00324109 0.00232741 0.00331271 0.00351616 0.0061725  0.00746565
 0.00898315 0.0067248  0.00836938 0.00959794 0.01233507 0.00929107
 0.01584003 0.01373181 0.01774087 0.01819986 0.01615276 0.01731514
 0.02181014 0.02821877 0.02688667 0.03125609 0.02509795]","[6795.85629032 6010.56089186 5224.52115711 4539.94802258 3904.43517033
 3347.42454294 2961.68523833 2655.8791823  2421.26751343 2284.27642787
 2143.08673598 1950.8639893  1796.94728282 1643.02935809 1470.35994617
 1319.89819703 1161.33172489 1035.98752159  956.98084999  826.96053194
  720.65139444  644.26326555  605.36875141]","[47.00189223 49.7512802  45.59896032 43.75454706 37.12906091 43.55791471
 41.40730201 28.02869283 28.98572749 36.00131923 33.95307614 23.23919599
 37.89111812 34.0227278  32.77047305 27.74567412 22.27543538 18.26219083
 30.1691827  23.4204554  20.29314709 19.7391195  18.44653247]"
n:final dfo z2:108.0 z1:1224.0 data:pos,"[1.00004196 0.99978333 1.00035454 1.00009725 0.99871831 1.00094047
 1.00094315 0.99636558 1.00141318 1.00344072 0.99857409 1.00299678
 1.00341052 0.99184014 0.99881372 1.00433955 0.99814053 1.00313423
 0.99122319 0.99122074 1.02702814 1.00055228 0.98229934 0.97667604
 1.00514858 1.03573444 1.00147705 1.01508888 1.00993607 0.9747596
 0.9618923 ]","[0.0015443  0.00175032 0.00243057 0.00327855 0.00400172 0.00469865
 0.00551499 0.00591375 0.00560479 0.00703933 0.00865381 0.01120787
 0.01375829 0.00849103 0.01474465 0.01409688 0.0155906  0.01888989
 0.02643352 0.02353046 0.02466132 0.02872909 0.0278154  0.02904985
 0.03686394 0.02842877 0.03048621 0.0340048  0.03589981 0.04313298
 0.04435196]","[8631.90327385 7613.62543244 6765.88733238 6000.77482042 5213.6488945
 4532.91402918 3901.19192631 3347.30642708 2968.5094485  2662.16789716
 2422.84004508 2287.88453363 2147.60454303 1952.23750448 1795.06253805
 1642.35153346 1471.2383627  1319.56417106 1160.1023682  1035.74602199
  959.62952378  829.70691278  723.9129198   647.97484203  607.06217713
  571.37731139  501.06517479  458.01570725  411.4067102   361.38221809
  330.15605855]","[59.76012761 46.18611966 49.90318485 49.72569091 52.46156255 56.07774616
 43.48380442 36.09981881 38.80110488 34.80538292 27.36974526 34.94436693
 34.17817357 26.10137727 31.83802103 33.77625329 31.02357431 29.66378697
 36.87819536 25.35408246 25.43579824 25.34362225 18.90893288 21.88261973
 20.90606274 21.03948644 17.36768005 18.09876037 16.9798104  16.95331966
 13.31379932]"
n:finalit20 dfo z2:180.0 z1:1404.0 data:pos,"[1.00020662 1.00005851 0.99865242 1.00087619 1.00084212 0.99616844
 1.00134482 1.00324839 0.99838696 1.00346695 1.00431195 0.99225326
 0.9987232  1.00475816 0.99886329 1.00339799 0.99100467 0.99102903
 1.02705206 0.99943187 0.98039438 0.97502917 1.00297153 1.0340869
 0.9994239  1.01324636 1.01131618 0.98337453 0.98392734 1.02136324
 0.97740638 0.98870845 1.03436818 0.9635734 ]","[0.00210631 0.00238051 0.0037649  0.00347068 0.00506292 0.0052891
 0.00818392 0.00747537 0.01022723 0.01076324 0.01084381 0.01379676
 0.01392842 0.02061581 0.01561876 0.02062528 0.02135565 0.02106445
 0.02577218 0.03008656 0.02224259 0.02431894 0.02129408 0.03001421
 0.02629713 0.0397397  0.04045962 0.04014524 0.04538612 0.04409581
 0.05520902 0.04194654 0.046562   0.05096283]","[6789.62051428 6005.02571878 5220.29369786 4537.84620624 3907.1385028
 3352.56193678 2968.98787419 2664.43670084 2425.5971383  2284.37054356
 2138.80217412 1947.84622711 1795.72702588 1642.97198655 1471.28239598
 1320.01576954 1160.2409487  1035.95560914  959.59037642  831.3858446
  725.53632244  648.71518076  607.91300582  572.04822752  501.73057803
  458.61722364  410.49231177  357.48797589  322.17837032  304.07530479
  266.71344493  249.74975773  245.04191343  216.50883575]","[62.66671013 32.56839635 38.89011459 45.7524182  49.56369337 34.56228445
 33.74388127 30.21642537 41.20025201 31.4207738  34.40053982 33.43389738
 34.09607959 37.22607274 23.06783405 29.31058862 24.9499526  25.09686722
 25.96270715 30.70248826 18.89730686 19.46962058 17.16838795 20.98540369
 18.04577007 18.15634075 17.81260801 12.9669889  12.3820896  12.4634259
 13.75947888  9.45052806 14.39733898 11.48859586]"
n:finalit30 dfo z2:180.0 z1:1404.0 data:pos,"[1.00017887 1.00006031 0.99862235 1.00088922 1.00087502 0.9961787
 1.00139885 1.00331465 0.99836185 1.00358376 1.00463893 0.99233306
 0.99867623 1.00474563 0.99923217 1.00342747 0.99077602 0.99095599
 1.0272377  0.99997346 0.98062433 0.9745402  1.0025254  1.03345041
 0.99893666 1.01229595 1.01045262 0.98200619 0.98238199 1.01902022
 0.97510925 0.98901307 1.03708857 0.96794019]","[0.00207928 0.0025248  0.00368786 0.00399362 0.00615788 0.00580951
 0.00750452 0.01081466 0.01048179 0.01011368 0.0126519  0.01561861
 0.01034391 0.01299917 0.01274961 0.01345781 0.01836198 0.02522069
 0.02279145 0.01943582 0.02968484 0.02692058 0.02177541 0.02772502
 0.03375942 0.03917084 0.03433834 0.03213874 0.04925263 0.04296898
 0.03936547 0.04720595 0.05382432 0.05523222]","[6800.27569657 6003.51706998 5219.87816962 4535.09929765 3904.24587289
 3351.27228561 2967.79094506 2663.67618078 2425.55004201 2283.68775454
 2140.15150361 1951.57741743 1796.30570996 1640.90199617 1467.44652353
 1318.1043001  1159.88718299 1035.7626995   959.4689339   830.28950469
  726.23152692  650.45563317  608.94793192  572.67075232  502.24627142
  459.15155717  410.71346243  357.89033889  322.80251291  304.66634068
  266.91457025  249.89307185  244.46880665  215.00753948]","[61.01464055 44.74766277 37.4599108  39.56986636 43.28909916 47.85716737
 38.06058068 32.87596338 37.29137807 40.78620398 30.61805285 37.62761593
 31.58966615 32.99113019 30.02232458 37.32017698 24.78108392 24.43305435
 26.82176662 24.77810744 25.76611408 16.8621132  18.21815166 19.03241213
 19.52002618 19.97296287 14.71061649 11.15953982 13.81416514 11.81363038
 12.35320573 13.10026281 13.88135253 16.35545232]"
