n:last rho_dm z2:108.0 z1:756.0 data:neg,0.011540022407497436,0.004296875067634615,"(0.01129700170700474, 0.012829616019849693, 0.004873525669213303, 0.01908830038896088, 0.005529043889802929, 0.0163111880448804, 0.00426500816261663, 0.01978824599043102, 0.016379600173858932, 0.007214122034818263, 0.014881894482082976, 0.008836775550626534, 0.008222318718766492, 0.01326022767792396, 0.011277561490011662, 0.012076309711448454, 0.016768264249130426, 0.003744623123939582, 0.008042416878130556, 0.015164374294673558, 0.0159650167441312, 0.006682290867811512, 0.011766354470844308, 0.011514523945031963, 0.004986186839755877, 0.018909315333223865, 0.013417607822177114, 0.01128551039522913, 0.007092446868817605, 0.015894117810531527, 0.007832265676808895, 0.01589566889893337, 0.009329942214166219, 0.01342490674059637, 0.010995330828276681, 0.013952694893223703, 0.011161150377933509, 0.01277064702709682, 0.01144567838239589, 0.00742882190474095)"
n:last rho_dm z2:108.0 z1:972.0 data:neg,0.013579249765340171,0.004217767673396889,"(0.021347359228244146, 0.007588213152690509, 0.007618971250141351, 0.020391337593094496, 0.008777673442403036, 0.017609631000872716, 0.00882717451065704, 0.018718341649826078, 0.019452346993702043, 0.008229831250394705, 0.012363188624738591, 0.013418161582637214, 0.012994188651681393, 0.01339134542231548, 0.015834787323886334, 0.01223789552063253, 0.01957645509202296, 0.004845797798766426, 0.00908817346239923, 0.018766015615715684, 0.01744421547156526, 0.009843719816010538, 0.016665793047817457, 0.009755468518997685, 0.008297272404538932, 0.01955693485299245, 0.015286842375984872, 0.013701418874101307, 0.010532837282710976, 0.0168854875508907, 0.011610489417774872, 0.015238525741552595, 0.014899483457371757, 0.012975810406200917, 0.009964023090816605, 0.017285851844611445, 0.015416541870869367, 0.013914024243709383, 0.013394031808437727, 0.009424329369830143)"
n:last rho_dm z2:108.0 z1:1152.0 data:neg,0.013603294583525924,0.0037703745134113876,"(0.01672150972732229, 0.011406204800320535, 0.006491468571356129, 0.02063819357737462, 0.011830349290470365, 0.014662264430696402, 0.01081167191112721, 0.01718094850768295, 0.02147995025896401, 0.006871365439223416, 0.01132324981599115, 0.014593076093344239, 0.012626614055276415, 0.013601176160121329, 0.017439529157410084, 0.010820590847268871, 0.017310299706057942, 0.007793842289372248, 0.009206991351187908, 0.017973061559823467, 0.01771653406534618, 0.009447438425568182, 0.016141983235612712, 0.01016752319411969, 0.009295490673352355, 0.018736169615441535, 0.017681449269137874, 0.01063743604351364, 0.01133232614589506, 0.01679682074598501, 0.010730725281353812, 0.016177983678824392, 0.012534076226909614, 0.015452733487545056, 0.012592997056239345, 0.015983391229685673, 0.016710465676512933, 0.012118195132734181, 0.0134848948084786, 0.009610791798389591)"
n:lastit50 rho_dm z2:108.0 z1:756.0 data:neg,0.010725542312128505,0.0033286502038293473,"(0.010015163656260843, 0.01117477334541516, 0.01150292372662325, 0.010880450613287608, 0.009621701306228216, 0.011762536742201573, 0.00796709294575044, 0.01416373842187601, 0.007827544206787237, 0.01522932359774942, 0.01353178380784775, 0.010421924784682386, 0.01695008915965649, 0.0043133833241749955, 0.005381423950429291, 0.010779996885578663, 0.014378109278730275, 0.005368328603958733, 0.007099284707518288, 0.014291319873667994, 0.014500475114553532, 0.007250096938381548, 0.015470072952231238, 0.008122972410246914, 0.01033233510344891, 0.00682338467893057, 0.013689987671780843, 0.008825181487143527, 0.015235143108846608, 0.00671364819128158, 0.015378634193091696, 0.007308514876371386, 0.013814328916382118, 0.007904100959489353, 0.00871645692816221, 0.014553710360176284, 0.009974390298020455, 0.012214386334435563, 0.010794536562875231, 0.008738442460866)"
n:last rho_dm z2:108.0 z1:756.0 data:pos,0.012132112596659497,0.004206776505685458,"(0.01052798616200511, 0.014443277411522138, 0.004661433454746307, 0.02012767654687262, 0.008956039307218413, 0.014332612844174454, 0.0039641738638059865, 0.020518243528292592, 0.016236131456410185, 0.008714971255475188, 0.014776556481431663, 0.009791974246926655, 0.014902616074563583, 0.007046150569780728, 0.012972435953715604, 0.011587503733134288, 0.01674932353540324, 0.005305633514727642, 0.008381952390279957, 0.016184584809514502, 0.018124930708972097, 0.005479230408323033, 0.009855682142118608, 0.014186466724178443, 0.006729707559730758, 0.018505743159678133, 0.013927581033057558, 0.011687760709789942, 0.010169813815163914, 0.01447815752388722, 0.00886533532339859, 0.015486660455017544, 0.010941656078355604, 0.01390660863924703, 0.013859652673327508, 0.01239763432700351, 0.009332435734093484, 0.016100220460555537, 0.012296738132286196, 0.008771211118194153)"
n:last rho_dm z2:108.0 z1:972.0 data:pos,0.013416455665080372,0.004179844846252165,"(0.017120374686060025, 0.011817509688043251, 0.006949961023099735, 0.02017488255239687, 0.008471792971117607, 0.018441255518012744, 0.006990507204445011, 0.019966572115412518, 0.018628447976233677, 0.008457479598219816, 0.014535910989321409, 0.011897419405981524, 0.014871951654190916, 0.011248413058570036, 0.016583973305600807, 0.010835628728033415, 0.020095562753722387, 0.003423427868436432, 0.008165567813789397, 0.01891246701224324, 0.018043603284121947, 0.008947284481280012, 0.01589538624609288, 0.011551714934339033, 0.008498745291539855, 0.01899758230198986, 0.015019680483483892, 0.013576286370077321, 0.009785959081506108, 0.01670011262340614, 0.013387214484688052, 0.013448290128151193, 0.0141992437999666, 0.013673654376494296, 0.011592761494868056, 0.01585932948623513, 0.013388171512817945, 0.014576717059079349, 0.012749787272736877, 0.009177595967409427)"
n:last rho_dm z2:108.0 z1:1152.0 data:pos,0.015998800718800724,0.0032171948570560616,"(0.018146404232712278, 0.01472759313275563, 0.010438712110791941, 0.02173825734099979, 0.016015644216040337, 0.016724695681952707, 0.012789161642939976, 0.020242569906404818, 0.02160233543828537, 0.011693819853674374, 0.014565187647401218, 0.01644536915389321, 0.015070465454305485, 0.015155879638235654, 0.01968409629060849, 0.01310901553828817, 0.018993120436595335, 0.010376834557388191, 0.01122046571986485, 0.020705337084985766, 0.01991474340215532, 0.011657516952127828, 0.018121861611487322, 0.0136206976057912, 0.011181662876599502, 0.02138190371403033, 0.01917001257471821, 0.014234344146124603, 0.014290720905916444, 0.018303777457758786, 0.014460145472239337, 0.017162662216197788, 0.014712781236688467, 0.01814196441436009, 0.016683166787180004, 0.01651339671624982, 0.017192852178080798, 0.015658960654304523, 0.015746280830527648, 0.012357611921367287)"
n:lastit50 rho_dm z2:108.0 z1:1152.0 data:pos,0.014998466066097386,0.002452503951176265,"(0.017264728215495875, 0.013610133359265385, 0.016424801188804794, 0.01558840246346687, 0.014294399632049051, 0.017255135401957368, 0.01707208754169558, 0.014073676005396232, 0.01384275277588757, 0.017868177492874705, 0.011393223647878153, 0.01841701769608327, 0.017447578701140765, 0.012503581992125687, 0.010888465495766362, 0.014042346024780314, 0.018497648298535754, 0.01010095424202307, 0.013593048647244518, 0.01800950778529875, 0.01789836450950839, 0.012822974313434633, 0.018357867160149456, 0.014211581763357474, 0.013498698250248282, 0.013322474309360958, 0.0173432277444573, 0.012980860862027611, 0.016747510990575223, 0.013419531107456957, 0.018736456235454124, 0.011969150824944472, 0.01764624823261245, 0.013558079337049715, 0.014819523887268546, 0.01079602207219484, 0.016084519915326223, 0.015103292168823843, 0.012594469696545933, 0.01584012265532885)"
n:last rho_dm z2:180.0 z1:972.0 data:pos,0.014395316396676058,0.003743618226153761,"(0.01831763269377771, 0.012791436954397974, 0.00835462908639057, 0.021093054572218852, 0.010588675819041786, 0.0181957119228385, 0.012563708147373707, 0.015497153775241227, 0.018603729031809624, 0.010801197598782362, 0.016659519678666867, 0.01084648779841243, 0.00881352413827478, 0.01896102252121831, 0.01711727737836243, 0.013022779791070844, 0.02076026158276936, 0.005143943148494685, 0.010013650734156977, 0.01877472902780375, 0.017113386088065254, 0.011169532423694967, 0.014312122834807893, 0.01476120051011115, 0.010648812906101108, 0.01870427868126631, 0.018013271412719446, 0.012579649111420125, 0.011068988787703333, 0.01711791016458917, 0.014369691273832053, 0.014820768988489597, 0.012973829784664291, 0.017974165103427444, 0.014297618409550968, 0.016067053793818366, 0.015560276921643013, 0.013222179039378546, 0.015433339403901953, 0.008684454826754862)"
n:last rho_dm z2:180.0 z1:972.0 data:neg,0.013991330932599192,0.003803062626705806,"(0.018927710871711315, 0.011182597606670001, 0.00737151805784793, 0.02088518837897745, 0.012972542778911876, 0.01593275610673227, 0.012875871332170698, 0.015102256604221693, 0.02022577937285811, 0.009112069094094405, 0.014022278826971643, 0.012279231555945616, 0.008622524587729446, 0.01780873121608607, 0.01571532992702743, 0.013469011156751177, 0.019536302948255358, 0.005848618632153481, 0.009427108389472277, 0.0183905340287292, 0.01680912789596245, 0.010867360898184568, 0.014784941010634756, 0.012505656751652137, 0.010309990923064945, 0.018202685711974642, 0.018107222283804625, 0.011638232239731506, 0.009464059738147634, 0.018093429618624934, 0.01196909973231178, 0.01634822380297777, 0.012846576156451179, 0.015800289478554552, 0.011620026597600223, 0.016391139650692645, 0.018008066835910087, 0.012667285554558254, 0.014803716987195232, 0.00870814396261646)"
