n:f42it30 dfo z2:216.0 z1:1368.0 data:neg,"[0.99981927 0.99956965 1.00004763 0.99887568 1.00284523 1.0004099
 1.00132309 1.00065474 1.00349324 0.99659255 0.99014445 0.99760661
 1.00120986 1.00076666 0.99722577 0.99200801 1.00689092 1.01108949
 1.01522576 0.99042608 0.99598622 0.9935182  1.00993098 1.00027058
 0.98348988 1.00678615 0.98159205 1.03479144 0.98293915 1.01165674
 0.9734611  1.01523691]","[0.00265859 0.00283181 0.00222015 0.00420252 0.00321223 0.00569419
 0.00478865 0.00619102 0.00605671 0.00914522 0.00921413 0.01159792
 0.01004979 0.01223777 0.01435042 0.01536985 0.01215637 0.01654839
 0.01892792 0.01802672 0.02099106 0.02124978 0.02314226 0.02376591
 0.01936035 0.02975687 0.01934289 0.03333355 0.01985618 0.03072924
 0.04128179 0.03057691]","[12242.24141248 11099.42857858 10133.09131529  9280.72629041
  8579.58670271  7861.42846076  7134.68641101  6353.33272679
  5593.39906615  4812.12663247  4130.65810087  3627.87560413
  3216.48842677  2874.70002498  2587.38172398  2347.54400035
  2180.99643748  1996.52059338  1809.4479591   1579.10344879
  1416.29006847  1260.78811405  1145.05216279  1017.5331233
   901.86212669   837.54818153   746.20983564   722.93535998
   633.98284385   603.48940006   537.77927053   520.09048901]","[81.13235916 67.38620539 49.0482295  65.79224012 52.96222987 63.3086464
 56.16160475 63.25935769 39.03942481 52.19717732 52.1663478  42.08152516
 36.75224412 38.518714   43.29156832 43.8399517  29.57706609 31.3169869
 24.22599692 22.99299563 32.11711073 30.28563923 25.1280691  25.33072286
 18.96509288 28.00174452 18.13875055 21.55852457 18.75591033 22.0592297
 22.38273486 20.35418234]"
n:f45it30 dfo z2:216.0 z1:1368.0 data:neg,"[0.99978002 0.99956947 1.00006176 0.99886545 1.00289972 1.00052782
 1.0015097  1.00081393 1.00367159 0.99666717 0.99018015 0.99741875
 1.00095167 1.00039173 0.99673589 0.99134538 1.00639353 1.01058488
 1.0143968  0.989562   0.99525986 0.99255621 1.00828679 0.99863343
 0.98183544 1.00562341 0.98114637 1.03494345 0.98466664 1.01575568
 0.97906158 1.02479425]","[0.00241243 0.00225193 0.00357539 0.0024663  0.00383287 0.00552208
 0.00598512 0.00509051 0.00743831 0.0076927  0.01098845 0.00948024
 0.01095815 0.01596914 0.01412539 0.01170798 0.01366581 0.01153296
 0.01712698 0.0116764  0.01769685 0.01567837 0.02254622 0.0203439
 0.02314191 0.02730542 0.02742396 0.03318369 0.02911605 0.04097776
 0.0325375  0.03399789]","[12255.62986656 11100.48078413 10142.25000708  9276.12493945
  8563.85214152  7849.79943833  7125.23194934  6353.29590532
  5592.59608794  4818.63374405  4131.08262753  3627.81933084
  3219.28981169  2877.82021555  2591.64408464  2349.62106624
  2182.64485789  1997.89497592  1810.14419991  1580.1017928
  1414.37141555  1258.50169469  1142.24709863  1016.82987529
   904.23512499   841.90804688   750.94700399   727.23185118
   634.84483389   600.87333678   532.07350965   512.07523067]","[91.08845723 56.35554618 88.89574862 58.58879366 75.47415712 70.78206536
 63.59046115 56.7363342  52.01310648 41.40010378 41.5366054  45.32166357
 53.55600131 65.61595372 34.88266338 29.90619789 32.30360071 34.46407236
 27.93983547 35.24829185 21.69318294 28.74776124 24.04553301 22.3786443
 19.72437264 24.52938803 23.28753278 24.8051465  20.20027642 21.27242982
 15.92442521 19.12254043]"
n:f10it30 dfo z2:216.0 z1:1368.0 data:neg,"[0.99983762 0.99960421 1.00014306 0.99889715 1.00280298 1.00037951
 1.00121561 1.00038028 1.00321656 0.99630783 0.99019685 0.9979866
 1.00196437 1.00151566 0.9976498  0.99186313 1.00626706 1.01013032
 1.01408169 0.98962159 0.9956078  0.99357449 1.00975495 1.00073686
 0.98501342 1.00930051 0.9847985  1.0382541  0.98549787 1.01194196
 0.96914876 1.00495221]","[0.00195829 0.00209376 0.00303731 0.00387718 0.0036925  0.00597241
 0.00608052 0.00625073 0.00905002 0.00700944 0.01037139 0.00844091
 0.01024306 0.0121882  0.01520341 0.02063748 0.0123281  0.01161642
 0.01823274 0.02191911 0.01518618 0.01903353 0.02112197 0.01880295
 0.01749442 0.0315124  0.02313215 0.03703974 0.02661022 0.0305102
 0.04312982 0.05135198]","[12248.26197237 11099.06586695 10131.37213881  9281.4829402
  8577.45778714  7852.02468048  7129.9035898   6361.58639314
  5602.20358359  4822.36370194  4133.22876368  3622.19890262
  3206.84549321  2865.54000649  2583.62191623  2347.30760536
  2183.50341506  1999.27870281  1810.71767388  1579.3265765
  1414.11979797  1257.46591159  1143.54851599  1016.56624675
   901.97283781   839.23158261   748.22839401   724.41764618
   633.92969316   603.20810691   538.62809361   523.31832117]","[74.5470974  71.66770249 61.76713259 61.51887692 72.10966527 76.70512174
 62.1416895  47.03409177 42.14475798 44.63015151 52.34321031 39.57057411
 41.31162721 38.07293835 34.0655671  47.89901039 30.28991278 34.86359135
 37.89204353 30.16143062 29.8837638  26.46286523 26.70069135 19.75272923
 18.16552162 30.57915297 19.05280303 20.09980947 15.2444766  20.64067693
 27.65503542 19.3038649 ]"
n:f42it30 dfo z2:216.0 z1:1368.0 data:pos,"[0.9999854  0.99966993 1.00106585 1.0000497  0.99705073 0.99945796
 1.00213145 1.00002752 1.00393128 0.99970355 1.00131698 0.99901641
 1.00170897 1.00080929 0.99949205 0.99932521 0.99245017 1.00797678
 0.99628495 0.9952009  0.98100026 1.0140128  1.00179909 1.0118912
 0.99724774 1.01629023 0.99277747 1.00670924 0.98246403 0.97219651
 0.98592227 1.02798306]","[0.0023151  0.00260398 0.00212648 0.00410271 0.00333074 0.00596196
 0.00483933 0.00704656 0.00634058 0.00936634 0.00880595 0.01139858
 0.00946482 0.01122036 0.0140607  0.01509695 0.01267945 0.01708963
 0.0204333  0.01924854 0.02107909 0.02112407 0.02274362 0.02611481
 0.02018171 0.0304307  0.02149138 0.03392931 0.02271051 0.03145521
 0.04210393 0.03238399]","[12475.15942802 10839.19858851  9436.07752073  8220.496952
  7193.83131402  6400.16114588  5740.63713137  5183.28610625
  4794.22797829  4435.41487882  4126.19193289  3798.93389443
  3476.8730685   3127.83733184  2788.78509715  2481.32362023
  2185.95017202  1974.38820803  1743.89805038  1567.30400605
  1401.40691584  1322.4943391   1192.51804046  1096.25793573
   976.24532397   893.91908507   782.42630051   710.3251624
   623.58901661   560.20926406   522.04508764   505.93254845]","[90.39572072 63.46548209 53.76165155 54.97755205 46.94903769 46.06400443
 48.56113073 56.14768447 44.09459633 53.18667262 49.70412799 44.01127607
 42.19868004 38.39691718 45.24903162 43.7725976  31.72592305 30.90874929
 28.21317381 26.06671993 30.21247156 29.32719864 27.85095827 27.55583485
 18.99009255 30.01063236 17.26450078 20.650219   19.57716832 19.37637724
 22.27102626 20.01176536]"
n:f689it30 dfo z2:216.0 z1:1368.0 data:pos,"[0.99996234 0.99964461 1.00101526 0.99999413 0.99708566 0.99955307
 1.00219864 0.99992895 1.00376398 0.99993701 1.00175482 0.9994218
 1.00231499 1.00129652 0.99982577 0.99936766 0.99206602 1.00756647
 0.99591322 0.99490383 0.98078601 1.01400104 1.00203109 1.01231662
 0.99725764 1.0152182  0.99144552 1.0043127  0.97982873 0.97039634
 0.98600247 1.034076  ]","[0.00181803 0.00225416 0.00277813 0.00213121 0.0036461  0.00433736
 0.00634517 0.0080076  0.00498715 0.00853479 0.009744   0.00763918
 0.01093726 0.01023855 0.01336011 0.01501943 0.01602284 0.01718135
 0.01545528 0.01500008 0.01898756 0.01977897 0.02632014 0.02484504
 0.02704423 0.02518298 0.01716213 0.02485921 0.01897388 0.03776755
 0.02713761 0.02950967]","[12478.57197442 10839.44726721  9445.67826695  8229.38808543
  7189.5519781   6398.41551539  5740.22063447  5186.16656152
  4795.52480122  4431.52025034  4123.64761422  3798.0647157
  3472.89171319  3126.72014938  2788.07504109  2476.25403948
  2184.52703113  1975.06987178  1744.10419522  1566.71452705
  1399.95563106  1320.28307538  1191.58651201  1094.29394887
   975.58377259   894.27210305   783.28995708   712.22580504
   626.16904193   562.42825982   523.43221794   505.46667097]","[70.50754014 57.45889704 61.69368518 44.1694364  55.23948052 50.23005233
 37.95328039 53.56467598 43.22971919 52.8697464  59.42963211 44.05192254
 48.85534608 44.22485092 34.58547173 24.39433957 35.82613773 34.14743853
 25.77478474 23.14850407 27.85150038 31.12345467 29.0168484  27.48807642
 18.89015942 26.9283229  20.86915992 18.34850399 15.06286379 19.62669201
 13.57313493 18.67914328]"
n:f10it30 dfo z2:216.0 z1:1368.0 data:pos,"[1.00005864 0.99974639 1.0010865  1.00004878 0.99699184 0.99941599
 1.00212797 0.99984204 1.00354445 0.999012   1.00069932 0.99829877
 1.00125264 1.0005535  0.9996623  1.00013542 0.99344508 1.00894537
 0.99712653 0.99594834 0.98079108 1.01320536 1.00036688 1.0100397
 0.99628162 1.01709692 0.99597519 1.01170064 0.98818533 0.97580617
 0.98414607 1.01684241]","[0.00163737 0.00191396 0.00290684 0.003798   0.00405141 0.00626874
 0.0060984  0.0063913  0.00917889 0.00725832 0.00972531 0.00773867
 0.01011281 0.0111972  0.01575495 0.02076438 0.01279248 0.01197828
 0.01744336 0.02313081 0.01446802 0.0175785  0.01986242 0.01775427
 0.01783913 0.03171551 0.02389735 0.0316572  0.02850466 0.03095742
 0.04855889 0.05156756]","[12454.33435394 10829.35854828  9439.25013602  8225.6589987
  7195.68973236  6400.02942564  5740.45736693  5188.05696753
  4797.52151268  4442.63337961  4134.568866    3806.28140473
  3479.58258561  3131.09092997  2789.753668    2474.62958788
  2180.78674129  1972.00998587  1742.47874408  1566.14330176
  1400.83803913  1321.89838323  1193.38252278  1096.67925219
   976.25474309   892.45427141   779.50326511   706.63392325
   620.53283294   558.76499372   524.134821     512.58209854]","[83.31804114 52.71794323 57.20546862 61.6314918  53.58173804 70.34323863
 67.88409707 46.67708091 42.69503145 38.50493431 54.30980851 47.46373629
 37.78797555 38.03557152 43.15717331 48.21880815 32.97524612 38.52285233
 33.92366214 30.55027336 27.60237902 26.89741146 24.85801703 17.12718196
 20.58788638 30.56732178 21.31384089 15.86734239 14.68593809 19.48608622
 28.88346069 16.83273398]"
n:f689it30 dfo z2:216.0 z1:1368.0 data:pos,"[0.99996234 0.99964461 1.00101526 0.99999413 0.99708566 0.99955307
 1.00219864 0.99992895 1.00376398 0.99993701 1.00175482 0.9994218
 1.00231499 1.00129652 0.99982577 0.99936766 0.99206602 1.00756647
 0.99591322 0.99490383 0.98078601 1.01400104 1.00203109 1.01231662
 0.99725764 1.0152182  0.99144552 1.0043127  0.97982873 0.97039634
 0.98600247 1.034076  ]","[0.00181803 0.00225416 0.00277813 0.00213121 0.0036461  0.00433736
 0.00634517 0.0080076  0.00498715 0.00853479 0.009744   0.00763918
 0.01093726 0.01023855 0.01336011 0.01501943 0.01602284 0.01718135
 0.01545528 0.01500008 0.01898756 0.01977897 0.02632014 0.02484504
 0.02704423 0.02518298 0.01716213 0.02485921 0.01897388 0.03776755
 0.02713761 0.02950967]","[12478.57197442 10839.44726721  9445.67826695  8229.38808543
  7189.5519781   6398.41551539  5740.22063447  5186.16656152
  4795.52480122  4431.52025034  4123.64761422  3798.0647157
  3472.89171319  3126.72014938  2788.07504109  2476.25403948
  2184.52703113  1975.06987178  1744.10419522  1566.71452705
  1399.95563106  1320.28307538  1191.58651201  1094.29394887
   975.58377259   894.27210305   783.28995708   712.22580504
   626.16904193   562.42825982   523.43221794   505.46667097]","[70.50754014 57.45889704 61.69368518 44.1694364  55.23948052 50.23005233
 37.95328039 53.56467598 43.22971919 52.8697464  59.42963211 44.05192254
 48.85534608 44.22485092 34.58547173 24.39433957 35.82613773 34.14743853
 25.77478474 23.14850407 27.85150038 31.12345467 29.0168484  27.48807642
 18.89015942 26.9283229  20.86915992 18.34850399 15.06286379 19.62669201
 13.57313493 18.67914328]"
n:f689it50 dfo z2:216.0 z1:1368.0 data:pos,"[0.99996311 0.99963166 1.00104472 1.00007668 0.99704209 0.99959174
 1.00231557 0.99994142 1.00379646 0.99959152 1.00140964 0.99931474
 1.00208003 1.00092397 0.99991883 0.99962513 0.99245025 1.00774364
 0.99606549 0.99488245 0.98026962 1.01343614 1.00133758 1.01200073
 0.99728576 1.01592146 0.99246965 1.00601651 0.98179208 0.9711479
 0.98571228 1.03130392]","[0.00234046 0.00266947 0.00312058 0.00313637 0.00383294 0.00501514
 0.00499753 0.00757861 0.00599804 0.00774719 0.00739283 0.00766733
 0.01006474 0.01279559 0.0139919  0.01541491 0.01220297 0.00908326
 0.01688859 0.02133055 0.0177259  0.02374904 0.02239609 0.01905633
 0.0191724  0.02634385 0.02730964 0.02780491 0.02478281 0.02689288
 0.02776401 0.05051528]","[12481.23323986 10844.76187695  9441.95318415  8221.87483962
  7193.56852922  6395.42058055  5734.59521254  5184.672866
  4793.04779591  4436.3995605   4127.84531277  3798.23342727
  3473.89664     3129.0284577   2787.28582255  2474.78059883
  2182.67222159  1974.2374274   1744.15303161  1567.84804204
  1402.03820502  1322.42920744  1192.96732962  1094.75143449
   975.31088414   893.46701528   782.69331984   711.09978626
   625.04280951   561.79155276   523.29355067   506.41636604]","[123.48962652  50.11919752  49.914929    48.18987873  41.63609678
  47.18065392  54.89819908  54.58646095  38.90065436  48.90059646
  47.66106272  36.48283016  37.6545975   47.80436147  38.10807231
  52.44687931  33.29625147  20.63403312  31.72508325  39.43002848
  28.70112122  26.02331836  31.72650487  22.07904786  25.59640511
  28.42657295  20.42964544  17.1617948   16.76348285  17.8302436
  17.98258117  18.22779017]"
n:f10it50 dfo z2:216.0 z1:1368.0 data:neg,"[0.99981884 0.99959692 1.00011183 0.99886428 1.00280068 1.00040098
 1.00134207 1.00056914 1.00330298 0.99648325 0.99029714 0.99791699
 1.00158971 1.00103858 0.99716884 0.99160333 1.00613769 1.01040912
 1.0144064  0.9895809  0.99547026 0.99337346 1.00983739 1.00063534
 0.98390157 1.00747662 0.98260828 1.03589755 0.98471803 1.01346698
 0.97423095 1.01529795]","[0.00274664 0.00205613 0.0037528  0.00467228 0.00419714 0.00412403
 0.00785863 0.00601785 0.00700869 0.00976511 0.0095562  0.01232119
 0.01052037 0.01457804 0.01177104 0.01434825 0.01299483 0.01377091
 0.02087371 0.01929531 0.0248315  0.02233653 0.02304493 0.0333536
 0.02750742 0.029652   0.02461705 0.03192961 0.03048001 0.0298841
 0.03973435 0.03643516]","[12274.57156621 11103.95373874 10132.89404937  9274.27475711
  8566.82635822  7853.7026416   7130.01074749  6357.78895082
  5597.99950793  4814.71255699  4129.71936558  3624.91218718
  3211.58250947  2870.62995172  2586.7030201   2346.18091046
  2179.03751759  1995.82656041  1808.47426292  1579.02034342
  1414.49989743  1256.57089484  1140.52053111  1014.06277553
   901.57876902   839.0389064    749.37965944   726.78314626
   637.10421801   605.5612748    538.71374924   520.59735073]","[94.47714704 64.58249883 66.11116765 58.6646434  61.48038254 63.47488722
 72.49395739 39.45917701 57.84837773 51.84024116 35.15342131 44.18306992
 51.24226998 36.82454064 44.88903335 30.95292385 34.95129796 32.34927751
 32.77639688 34.50046194 37.08940871 28.47987214 18.10964081 28.23988329
 29.22549331 25.61089798 22.56356464 26.61251873 18.46516353 19.26293674
 19.58328188 14.04220918]"
n:f10it50 dfo z2:216.0 z1:1368.0 data:pos,"[1.00004064 0.9996892  1.00106659 1.00004365 0.99705314 0.9994896
 1.00212523 0.99983556 1.00351811 0.99921906 1.00100885 0.99862718
 1.00128234 1.00057278 0.99973669 0.99984717 0.9930513  1.00880456
 0.99707987 0.99582258 0.981439   1.01398479 1.00171047 1.01202331
 0.99731423 1.01669969 0.99478761 1.00979323 0.98556014 0.9730638
 0.98369184 1.02008537]","[0.00231342 0.00198734 0.00362515 0.00439166 0.00445639 0.0044601
 0.00803158 0.0063498  0.00699205 0.00965303 0.00894497 0.01166195
 0.01032989 0.01392768 0.01216763 0.01507716 0.01387603 0.01410483
 0.02162326 0.02071151 0.02603189 0.0223888  0.02530852 0.03582908
 0.02757478 0.03124511 0.02488045 0.0320735  0.03285623 0.03113489
 0.04086563 0.03770738]","[12472.29788465 10835.01326028  9439.57121306  8224.46182234
  7195.7699487   6403.50924594  5741.67724147  5183.08665363
  4793.96134187  4439.80972548  4132.01318527  3802.60394802
  3477.35877434  3130.92781883  2791.87183074  2476.22492638
  2180.01763536  1969.52780865  1739.20041291  1564.12442423
  1399.02829063  1320.15789473  1191.04462999  1094.6975071
   975.64266657   892.44146708   780.80549511   709.18496287
   623.15849991   560.95461338   525.26628771   511.88509414]","[92.39873381 66.34087075 68.09493424 63.16270129 67.65490534 62.16673379
 62.15295406 37.46542113 59.21592127 53.57032967 34.45698681 46.09124531
 57.18905219 43.99893967 47.96840162 34.59584529 39.86610121 31.01570135
 34.8063494  36.81674843 37.96376148 30.69249093 21.33471906 34.84595679
 31.90379088 28.07797433 23.76526094 26.86902102 21.22260536 16.64073698
 20.89043715 13.04404359]"
