WDJ_Name,DR3_source_id,parallax,parallax_error,ra,ra_error,dec,dec_error,absG,bp_rp,SpT,comp,gaia_teff,gaia_teff_err,gaia_logg,gaia_logg_err,gaia_mass,gaia_mass_err,corrected_teff,corrected_mass,corrected_age,bibcode,comment
WDJ000210.72-430955.39,4994877094997259264,120.01426997667465,0.021522488,0.5484242194982256,0.014965798,-43.168439618,0.013544389,13.29135244,0.30948067,DA,H,8428,69,8.354,.017,.821,.011,8428,0.821,1.79,2011ApJ...743..138G,
WDJ000222.65+635744.14,431635455820288128,38.0576410247483,0.058539525,0.6036631273956624,0.04404724,63.962743077,0.048516396,14.91163933,1.1513519,DC,H,4879,38,7.939,.032,.542,.019,5011,0.636,7.01,2013AJ....145..136L,
WDJ000240.09-341339.59,2312821266302222720,67.52906109014079,0.028565476,0.6678798143455957,0.019956531,-34.23105221,0.020090068,14.02815556,0.62922,DC,He,6332,39,8.143,.017,.662,.011,6332,0.662,2.86,2001MNRAS.328..203S,
WDJ000331.63-164358.41,2414888694102153088,26.257755966715187,0.029099617,0.8829245135319762,0.023594236,-16.732887719,0.01800298,11.70571804,-0.06718922,DBA,He,12759,169,8.046,.024,.613,.015,12759,0.613,0.36,2018ApJ...857...56R,
WDJ000506.82+731309.38,537563127588521600,28.982473108704607,0.021286916,1.2813158032238048,0.018194396,73.219815783,0.01856938,11.58332721,-0.1062994,DBZA,He,13700,192,8.073,.024,.631,.014,13700,0.631,0.31,2019ApJ...885...74C,
WDJ000720.55+123021.16,2766234439302571904,57.277001750668994,0.058457207,1.8372377091198708,0.049003586,12.504845484,0.04280521,15.04708238,1.0153313,DCP,H,5223,35,8.274,.022,.758,.015,5285,0.813,7.83,2020A&A...643A.134B,
WDJ000728.90+340339.69,2875903332533220992,29.39643690843301,0.08408872,1.8705300750626102,0.059016228,34.061911026,0.041367214,14.58144047,0.8236561,DC,He,5646,55,8.189,.033,.690,.022,5666,0.705,5.26,2019ApJ...878...63B,
WDJ000754.11+394732.18,383108338321272448,29.100410006901214,0.057270415,1.977553340129352,0.038781334,39.791931936,0.029635338,13.88580454,1.2318163,DC,H,4679,27,6.932,.037,.170,.009,5106,0.287,1.78,2015ApJS..219...19L,Double degenerate candidate
WDJ001122.46+424040.92,384636109728592768,42.676567081763835,0.029079674,2.843289573717145,0.019939901,42.677025069,0.015081563,13.37113639,0.5064955,DA,H,7079,48,7.990,.019,.586,.011,7079,0.586,1.50,2015ApJS..219...19L,
WDJ001214.75+502520.74,395234439752169344,91.96457630276807,0.018302355,3.0582193135460027,0.011451377,50.419974933,0.011166868,14.05443087,0.62923145,DA,H,6483,34,8.237,.014,.740,.009,6483,0.740,3.23,2023MNRAS.520.6111H,
WDJ001324.45+543757.64,420531621029108608,30.976599032214992,0.11511801,3.357850446110235,0.07798965,54.635346221,0.07729477,15.45191867,1.4482307,DC,H,4123,85,7.776,.056,.459,.022,4348,0.631,9.44,2020MNRAS.497..130T,
WDJ001333.22-021319.42,2541549062071571968,25.75842616360543,0.1343942,3.388999601808324,0.115921676,-2.222764443,0.09408428,15.13200462,1.3502731,DC,H,4450,81,7.788,.060,.466,.025,4652,0.608,8.11,2020MNRAS.497..130T,
WDJ001339.15+001924.58,2545505281002947200,25.002390155721077,0.041161615,3.415000986441503,0.03852665,.322678493,0.025415258,12.32627664,0.19382,DA,H,9529,94,7.990,.025,.593,.015,9529,0.593,0.71,2015ApJS..219...19L,
WDJ001347.48-393724.28,4996458845552956928,27.90288828973255,0.11126544,3.4465745563672914,0.08255959,-39.626633041,0.062289212,15.1052658,1.2977295,DC,H,4542,61,7.824,.046,.476,.020,4732,0.608,7.82,2005ApJ...625..838B,
WDJ001349.89-714954.26,4689789625044431616,53.20518497550886,0.0193993,3.4612028621199697,0.01694269,-71.832838826,0.017565913,13.66303179,0.6718788,DAH,H,6275,33,7.874,.016,.516,.009,6275,0.516,1.73,2019A&A...628A...1L,
WDJ001412.79-131101.09,2418116963320446720,53.880866147529254,0.038864173,3.550804206824608,0.033984873,-13.186812817,0.025136456,14.41591784,0.7936468,DAH,H,5871,34,8.212,.017,.721,.011,5869,0.719,4.15,1997ApJS..112..527P,
WDJ001830.36-350144.71,2309122753616241280,28.049074886070553,0.058522884,4.627732498535426,0.041352358,-35.029179201,0.046871483,13.49025871,0.5195198,DAH,H,7008,64,8.048,.026,.621,.016,7008,0.621,1.68,2023MNRAS.518.3055O,
WDJ002116.21+253134.45,2855386170682263424,35.570097016990886,0.050932605,5.317799476419936,0.044227686,25.526273708,0.025962314,13.22974825,0.20468616,DA,H,9630,297,8.567,.059,.962,.037,9630,0.962,1.98,2020MNRAS.497..130T,
WDJ002147.30+264036.16,2855790657816672000,30.42810640951544,0.09171181,5.446718736950243,0.07204261,26.675311242,0.05374351,14.88156963,1.1212711,DC,H,4991,55,7.999,.044,.579,.027,5101,0.660,6.90,2015ApJS..219...19L,
WDJ002215.19+423642.15,385105360675267840,28.989923340265765,0.053261127,5.562166275795596,0.037115812,42.610504359,0.02544346,13.68227933,0.8458538,DC,He,5625,30,7.579,.020,.388,.008,5665,0.405,2.08,1997ApJS..112..527P ,Double degenerate candidate
WDJ002450.37+683446.85,529594417061837824,27.757534144660745,0.07246258,6.214864903552353,0.059630405,68.579783061,0.055250555,14.68405941,0.86151314,DC,He,5644,73,8.251,.041,.732,.028,5663,0.747,5.65,2020MNRAS.497..130T,
WDJ002640.74-552444.12,4920057871348614272,41.57229212565184,0.024641313,6.667393085711431,0.016688896,-55.414268678,0.019412639,13.25716185,0.15869331,DA,H,9935,99,8.649,.018,1.013,.011,9935,1.013,2.12,2011ApJ...743..138G,
WDJ002702.93+055433.40,2747384888699406080,27.05671447191263,0.15803143,6.761796522607595,0.13567491,5.907399733,0.09729188,15.17650229,1.0805111,DC,He,5046,89,8.249,.065,.729,.044,5124,0.800,7.32,2020MNRAS.497..130T,IR-faint white dwarf with collision-induced absorption in the infrared. Multiple solutions for Gaia stellar parameters
WDJ002736.63+054203.13,2555215995900584448,46.118299277557526,0.047717348,6.903825079067502,0.04618759,5.699694118,0.027355764,14.28531142,0.8867035,DA,H,5572,33,7.957,.021,.560,.012,5607,0.581,2.85,2017AJ....154...32S,
WDJ002949.72-544133.01,4920160332088386304,25.885067221156692,0.03570617,7.454836835151149,0.024287688,-54.693403803,0.028612813,13.12106149,0.656147,DA,H,7253,145,7.860,.057,.513,.031,7253,0.513,1.19,1994AAS...184.2809O,
WDJ003036.62-685458.25,4703464251158954496,25.45945540980334,0.040829152,7.651130320862246,0.034495804,-68.916537498,0.03379708,12.76015255,0.46875286,DA,H,8785,228,8.089,.064,.651,.040,8785,0.651,1.00,2023MNRAS.518.3055O,
WDJ003047.74+034657.93,2553935752048977792,35.997256309020244,0.04843781,7.699790352270129,0.04335194,3.783879361,0.030260282,13.873165,0.6159487,DC,He,6418,47,8.066,.022,.614,.014,6418,0.614,2.28,2020MNRAS.497..130T,
WDJ003209.86-025401.65,2528728726428345216,42.48814029561751,0.08286962,8.043925841546262,0.069137536,-2.899783606,0.048760824,15.14830461,1.3120289,DC,H,4496,37,7.820,.024,.473,.008,4691,0.610,8.00,2001ApJS..133..413B,
WDJ003325.28+250613.99,2807462655009880320,26.105468520955217,0.06589643,8.357698108601639,0.05465487,25.104527005,0.036959536,13.89257146,0.6951351,DA,H,6237,49,8.013,.026,.597,.015,6237,0.597,2.16,2015ApJS..219...19L,
WDJ003517.51-171851.57,2364319061964016512,29.94926650561679,0.028480139,8.825832679903346,0.022775507,-17.314343927,0.022403939,12.30437695,0.1803999,DAZ,H,9659,83,8.009,.021,.605,.013,9659,0.605,0.70,2003ApJ...596..477Z,
WDJ003535.84+015308.62,2544456862306151680,31.408605946484506,0.041355424,8.898681967597048,0.03585511,1.884115354,0.023172665,13.1010823,0.09651947,DA,H,10805,129,8.693,.020,1.040,.012,10805,1.040,1.82,2015ApJS..219...19L,
WDJ003614.41-415726.12,4993117773313626496,38.78760267513124,0.044637542,9.064129014855997,0.03076403,-41.958625718,0.031604722,14.34641869,0.82598114,DA,H,5743,33,8.105,.019,.651,.012,5754,0.658,3.57,2000A&A...353..958S,
WDJ003622.31-595527.55,4906743988126708992,43.618785396007375,0.018871129,9.095197453410867,0.015047213,-59.923768762,0.01578705,12.34755084,-0.10379505,DA,H,14378,215,8.603,.012,.990,.007,14378,0.990,0.62,2017ApJ...848...11B,
WDJ003713.77-281449.81,2319052851148048256,26.497874206365157,0.10285412,9.307774339708194,0.07717171,-28.247375087,0.060900744,14.73306317,0.92575264,DC:,He,5339,63,8.129,.044,.651,.028,5396,0.694,6.00,2023MNRAS.518.3055O,
WDJ004056.17-080908.56,2522401586766106624,26.71383397198628,0.093705244,10.234611541271125,0.0766999,-8.154112009,0.049624994,14.34857811,0.7341404,DAP,H,6080,67,8.264,.034,.756,.022,6080,0.756,4.17,2012MNRAS.425.1394K,
WDJ004122.04+555008.35,418491412783587200,43.65935569250702,0.021755258,10.34434410441941,0.012263701,55.83534173,0.014902345,12.19842161,0.06332302,DQ,He,10487,112,8.019,.023,.592,.014,10487,0.592,0.59,2015ApJS..219...19L,
WDJ004126.03-222102.29,2349916559152267008,109.92764165734953,0.02020457,10.356219925370175,0.014851349,-22.352333543,0.010992236,14.50271755,0.91118336,DQpec,He,5368,21,7.990,.014,.563,.009,5430,0.603,4.88,2009AJ....138.1681S,
WDJ004126.61-503258.58,4926464691244602752,31.838248401609455,0.086275816,10.361189667378039,0.05374553,-50.55121291,0.059157096,15.28983883,1.4689465,DC,H,4177,59,7.702,.044,.426,.019,4415,0.594,8.65,2023MNRAS.518.3055O,
WDJ004345.98-100025.02,2377863773908424448,32.12258599900451,0.042391665,10.94092868857244,0.029497655,-10.007548352,0.017187987,12.0676645,-0.27223682,DBAH,He,21334,835,8.893,.032,1.140,.016,21334,1.140,0.35,1992ApJ...396..273A,
WDJ004434.77-114836.05,2377344185944929152,27.082269456854252,0.09925583,11.145304818254537,0.07470905,-11.810744678,0.04806084,14.56536627,0.9947052,DZ,He,5296,81,8.050,.055,.614,.034,5362,0.662,5.78,2023MNRAS.518.3055O,
WDJ004506.34-060819.60,2523840155996531456,33.02656377426889,0.12418174,11.276906382598286,0.10266397,-6.141823276,0.06431907,15.56607495,1.1669083,DC,H,4847,66,8.378,.045,.827,.031,4938,0.925,9.79,2005ApJ...625..838B,
WDJ004519.60-332929.01,5006232026455470848,30.453606691329536,0.18316293,11.341388564246584,0.13079718,-33.497993182,0.1330653,16.02593367,1.50527,DC,H,4015,163,8.151,.107,.673,.070,4176,0.852,11.28,2005ApJ...625..838B,
WDJ004909.90+052318.99,2552928187080872832,231.7799995322092,0.018272836,12.296740250462333,0.016580552,5.376556608,0.008281123,14.12454279,0.5975876,DZ,He,6455,34,8.336,.013,.805,.008,6455,0.805,3.92,1993PASP..105..761W,
WDJ005110.87-202756.24,2356519298275043200,37.15203643080492,0.07299633,12.797965963165797,0.06257491,-20.467538464,0.044128895,14.84213912,1.1551971,DA,H,4881,35,7.893,.030,.516,.017,5019,0.610,6.46,1997ApJS..108..339B,
WDJ005311.22-501322.87,4925740628477887232,28.722002189650667,0.061008543,13.297227906835914,0.038752053,-50.223598159,0.045894,14.46697855,0.84498024,DC,He,5573,56,8.075,.034,.617,.022,5604,0.638,4.71,2023MNRAS.518.3055O,
